n,app,avg_cume_score
29,RUPEE Top-Aligned,0.47770196036518360544
30,RUPEE Top-Aligned,0.47687901571390822494
31,RUPEE Top-Aligned,0.47606819067956335152
32,RUPEE Top-Aligned,0.47526668364971634163
33,RUPEE Top-Aligned,0.47446891762715273451
34,RUPEE Top-Aligned,0.47366665521373464972
35,RUPEE Top-Aligned,0.47286207238756981304
36,RUPEE Top-Aligned,0.47208596001804708186
37,RUPEE Top-Aligned,0.47133321467852971899
38,RUPEE Top-Aligned,0.47060351411060232927
39,RUPEE Top-Aligned,0.46990205643122615204
40,RUPEE Top-Aligned,0.46922351582663571650
41,RUPEE Top-Aligned,0.46856471069025458424
42,RUPEE Top-Aligned,0.46792203868806525959
43,RUPEE Top-Aligned,0.46730042507876079848
44,RUPEE Top-Aligned,0.46669164370778577931
45,RUPEE Top-Aligned,0.46609520787005945398
46,RUPEE Top-Aligned,0.46550663537696181849
47,RUPEE Top-Aligned,0.46493437352631797837
48,RUPEE Top-Aligned,0.46437678577212726219
49,RUPEE Top-Aligned,0.46382994986785237671
50,RUPEE Top-Aligned,0.46328964546811422872
51,RUPEE Top-Aligned,0.46275928318931615070
52,RUPEE Top-Aligned,0.46223850220162753494
53,RUPEE Top-Aligned,0.46172898673285363844
54,RUPEE Top-Aligned,0.46122850982294452027
55,RUPEE Top-Aligned,0.46073589636124341651
56,RUPEE Top-Aligned,0.46025129393159668189
57,RUPEE Top-Aligned,0.45977124381075755120
58,RUPEE Top-Aligned,0.45930049372304574213
59,RUPEE Top-Aligned,0.45883966896560068390
60,RUPEE Top-Aligned,0.45838638871573588052
61,RUPEE Top-Aligned,0.45794106913977268379
62,RUPEE Top-Aligned,0.45750474668906162289
63,RUPEE Top-Aligned,0.45707682041319361327
64,RUPEE Top-Aligned,0.45665492650606456234
65,RUPEE Top-Aligned,0.45624159565959651109
66,RUPEE Top-Aligned,0.45583555225335827995
67,RUPEE Top-Aligned,0.45543682063588914235
68,RUPEE Top-Aligned,0.45504229965012696685
69,RUPEE Top-Aligned,0.45465513692081164287
70,RUPEE Top-Aligned,0.45427520302780433980
71,RUPEE Top-Aligned,0.45390168707675502251
72,RUPEE Top-Aligned,0.45353357066931017260
73,RUPEE Top-Aligned,0.45317277635665194200
74,RUPEE Top-Aligned,0.45281741325821984181
75,RUPEE Top-Aligned,0.45246834582781523459
76,RUPEE Top-Aligned,0.45212485142185385490
77,RUPEE Top-Aligned,0.45178646447364725851
78,RUPEE Top-Aligned,0.45145223876361010338
79,RUPEE Top-Aligned,0.45112269891757006892
80,RUPEE Top-Aligned,0.45079876291640050538
81,RUPEE Top-Aligned,0.45047918031608070836
82,RUPEE Top-Aligned,0.45016344632505493977
83,RUPEE Top-Aligned,0.44985165928271669561
84,RUPEE Top-Aligned,0.44954410364917913319
85,RUPEE Top-Aligned,0.44924059228886620858
86,RUPEE Top-Aligned,0.44894144622175560285
87,RUPEE Top-Aligned,0.44864599288984887878
88,RUPEE Top-Aligned,0.44835442442498810276
89,RUPEE Top-Aligned,0.44806609277524519673
90,RUPEE Top-Aligned,0.44778125537804120864
91,RUPEE Top-Aligned,0.44750053874671667498
92,RUPEE Top-Aligned,0.44722355832707134026
93,RUPEE Top-Aligned,0.44695014696178522789
94,RUPEE Top-Aligned,0.44667969243548687884
95,RUPEE Top-Aligned,0.44641298867636087250
96,RUPEE Top-Aligned,0.44614972750711997798
97,RUPEE Top-Aligned,0.44588993114362417999
98,RUPEE Top-Aligned,0.44563353317732910817
99,RUPEE Top-Aligned,0.44538003496507072462
100,RUPEE Top-Aligned,0.44512992860242900254
1,VAST,0.49596435110390493510
2,VAST,0.48957707984000974157
3,VAST,0.48528198747160975941
4,VAST,0.48111162289921611451
5,VAST,0.47777071002546058565
6,VAST,0.47467552956844992611
7,VAST,0.47167764106989720020
8,VAST,0.46902836697603377162
9,VAST,0.46665939304238043041
10,VAST,0.46432858894908302925
11,VAST,0.46211932802072982961
12,VAST,0.45983525774854033480
